1;2809.37;9.70;1563.15;small
1;2769.23;9.70;1542.79;small
2;2776.00;9.70;1611.00;small
2;2758.59;9.70;1569.50;small
3;2749.00;9.70;1649.00;small
3;2734.00;9.70;1684.00;small
4;2677.00;9.70;1578.00;small
4;2698.00;9.70;1606.00;small
5;2900.00;9.70;1570.00;small
5;2873.00;9.70;1541.00;small
6;2951.34;9.70;1569.09;big
6;2953.07;9.70;1619.30;small
7;2951.00;9.70;1483.00;small
7;2989.00;9.70;1497.00;small
8;3226.98;9.70;1538.32;big
8;3292.94;9.70;1535.71;big
9;3116.52;9.50;1793.65;small
9;3121.64;9.50;1699.41;big
10;3026.00;9.70;1661.00;small
10;3038.98;9.70;1714.22;big
11;2971.00;9.70;1794.00;big
11;2932.00;9.70;1735.00;big
12;3387.68;9.70;1922.17;big
12;3291.42;9.70;1935.44;big
12;3222.86;9.70;1914.29;big
13;3259.00;9.55;1794.00;big
13;3184.00;9.50;1779.00;big
14;3742.85;9.70;1682.93;small
14;3760.32;9.70;1748.12;big
14;3779.43;9.70;1830.87;big
15;3491.72;9.70;1498.92;big
15;3494.53;9.70;1577.55;big
15;3429.62;9.70;1546.47;small
16;2790.00;9.70;1748.00;big
16;2821.00;9.50;1650.00;big
17;3408.00;9.70;672.00;big
17;3426.00;9.70;746.00;small
17;3525.00;9.70;772.00;big
17;3416.00;9.70;851.00;big
18;2838.00;9.50;1551.00;small
18;2754.00;9.50;1515.00;small
19;2827.00;9.70;1450.00;big
19;2786.00;9.70;1480.00;big
20;2874.76;9.70;1394.22;big
